county,precinct,office,district,candidate,party,votes
Ottawa,"Robinson Township, Precinct 2",Straight Party,,Democratic Party,DEM,79,95,174
Ottawa,"Robinson Township, Precinct 2",Straight Party,,Republican Party,REP,279,108,387
Ottawa,"Robinson Township, Precinct 2",Straight Party,,Libertarian Party,LIB,3,2,5
Ottawa,"Robinson Township, Precinct 2",Straight Party,,U.S. Taxpayers Party,UST,0,0,0
Ottawa,"Robinson Township, Precinct 2",Straight Party,,Working Class Party,WC,3,0,3
Ottawa,"Robinson Township, Precinct 2",Straight Party,,Green Party,GRE,0,0,0
Ottawa,"Robinson Township, Precinct 2",Straight Party,,Natural Law Party,NAL,1,0,1
Ottawa,"Robinson Township, Precinct 2",Straight Party,,Cast Votes:,,365,205,570
Ottawa,"Robinson Township, Precinct 2",Straight Party,,Undervotes:,,256,114,370
Ottawa,"Robinson Township, Precinct 2",Straight Party,,Overvotes:,,1,0,1
Ottawa,"Robinson Township, Precinct 2",Straight Party,,Rejected write-in votes:,,0,0,0
Ottawa,"Robinson Township, Precinct 2",Straight Party,,Unresolved write-in votes:,,0,0,0
