county,precinct,office,district,candidate,party,election_day,absentee,total
Ottawa,"Spring Lake Township, Precinct 3A",Secretary of State,,Jocelyn Benson,DEM,1,0,1
Ottawa,"Spring Lake Township, Precinct 3A",Secretary of State,,Kristina Elaine Karamo,REP,5,0,5
Ottawa,"Spring Lake Township, Precinct 3A",Secretary of State,,Gregory Scott Stempfle,LIB,1,0,1
Ottawa,"Spring Lake Township, Precinct 3A",Secretary of State,,Christine C. Schwartz,UST,0,0,0
Ottawa,"Spring Lake Township, Precinct 3A",Secretary of State,,Larry James Hutchinson Jr.,GRE,0,0,0
Ottawa,"Spring Lake Township, Precinct 3A",Secretary of State,,Cast Votes:,,7,0,7
Ottawa,"Spring Lake Township, Precinct 3A",Secretary of State,,Undervotes:,,0,0,0
Ottawa,"Spring Lake Township, Precinct 3A",Secretary of State,,Overvotes:,,0,0,0
Ottawa,"Spring Lake Township, Precinct 3A",Secretary of State,,Rejected write-in votes:,,0,0,0
Ottawa,"Spring Lake Township, Precinct 3A",Secretary of State,,Unresolved write-in votes:,,0,0,0
Ottawa,"Spring Lake Township, Precinct 3A",Attorney General,,Dana Nessel,DEM,1,0,1
Ottawa,"Spring Lake Township, Precinct 3A",Attorney General,,Matthew DePerno,REP,6,0,6
Ottawa,"Spring Lake Township, Precinct 3A",Attorney General,,Joseph W. McHugh Jr.,LIB,0,0,0
Ottawa,"Spring Lake Township, Precinct 3A",Attorney General,,Gerald T. Van Sickle,UST,0,0,0
Ottawa,"Spring Lake Township, Precinct 3A",Attorney General,,Cast Votes:,,7,0,7
Ottawa,"Spring Lake Township, Precinct 3A",Attorney General,,Undervotes:,,0,0,0
Ottawa,"Spring Lake Township, Precinct 3A",Attorney General,,Overvotes:,,0,0,0
Ottawa,"Spring Lake Township, Precinct 3A",Attorney General,,Rejected write-in votes:,,0,0,0
Ottawa,"Spring Lake Township, Precinct 3A",Attorney General,,Unresolved write-in votes:,,0,0,0
Ottawa,"Spring Lake Township, Precinct 3A",U.S. House,,Hillary Scholten,DEM,1,0,1
Ottawa,"Spring Lake Township, Precinct 3A",U.S. House,,John Gibbs,REP,6,0,6
Ottawa,"Spring Lake Township, Precinct 3A",U.S. House,,Jamie Lewis,LIB,0,0,0
Ottawa,"Spring Lake Township, Precinct 3A",U.S. House,,Louis Palus,WC,0,0,0
Ottawa,"Spring Lake Township, Precinct 3A",U.S. House,,Cast Votes:,,7,0,7
Ottawa,"Spring Lake Township, Precinct 3A",U.S. House,,Undervotes:,,0,0,0
Ottawa,"Spring Lake Township, Precinct 3A",U.S. House,,Overvotes:,,0,0,0
Ottawa,"Spring Lake Township, Precinct 3A",U.S. House,,Rejected write-in votes:,,0,0,0
Ottawa,"Spring Lake Township, Precinct 3A",U.S. House,,Unresolved write-in votes:,,0,0,0
