x,y,text
20.016,91.29899999999998,Secretary of State - Vote for not more than 1
20.016,73.44299999999998,Choice
179.856,73.44299999999998,Party
218.592,73.44299999999998,Election Day Voting
326.016,73.44299999999998,Absentee Voting
476.64,73.44299999999998,Total
20.016,163.34199999999998,Jocelyn Benson
179.856,163.34199999999998,DEM
249.552,163.34199999999998,301
275.832,163.34199999999998,27.39%
344.016,163.34199999999998,334
370.296,163.34199999999998,49.85%
445.68,163.34199999999998,635
471.96,163.34199999999998,35.90%
20.016,147.50199999999995,Kristina Elaine Karamo
179.856,147.50199999999995,REP
249.552,147.50199999999995,780
275.832,147.50199999999995,70.97%
344.016,147.50199999999995,331
370.296,147.50199999999995,49.40%
439.632,147.50199999999995,1111
471.96,147.50199999999995,62.80%
20.016,131.66199999999992,Gregory Scott Stempfle
179.856,131.66199999999992,LIB
253.872,131.66199999999992,14
280.152,131.66199999999992,1.27%
352.656,131.66199999999992,1
374.616,131.66199999999992,0.15%
450.0,131.66199999999992,15
476.28,131.66199999999992,0.85%
20.016,115.822,Christine C. Schwartz
179.856,115.822,UST
258.192,115.822,2
280.152,115.822,0.18%
352.656,115.822,4
374.616,115.822,0.60%
454.32,115.822,6
476.28,115.822,0.34%
20.016,99.98199999999997,Larry James Hutchinson Jr.
179.856,99.98199999999997,GRE
258.192,99.98199999999997,2
280.152,99.98199999999997,0.18%
352.656,99.98199999999997,0
374.616,99.98199999999997,0.00%
454.32,99.98199999999997,2
476.28,99.98199999999997,0.11%
170.424,82.26999999999998,Cast Votes:
243.504,82.26999999999998,1099
271.584,82.26999999999998,100.00%
344.016,82.26999999999998,670
366.048,82.26999999999998,100.00%
439.632,82.26999999999998,1769
467.712,82.26999999999998,100.00%
166.68,60.66999999999996,Undervotes:
253.872,60.66999999999996,11
352.656,60.66999999999996,7
450.0,60.66999999999996,18
171.576,45.98199999999997,Overvotes:
258.192,45.98199999999997,0
352.656,45.98199999999997,0
454.32,45.98199999999997,0
126.792,31.581999999999994,Rejected write-in votes:
258.192,31.581999999999994,1
352.656,31.581999999999994,0
454.32,31.581999999999994,1
117.216,17.18199999999996,Unresolved write-in votes:
258.192,17.18199999999996,0
352.656,17.18199999999996,0
454.32,17.18199999999996,0
20.016,-120.74100000000004,Attorney General - Vote for not more than 1
20.016,-138.59700000000004,Choice
179.856,-138.59700000000004,Party
218.592,-138.59700000000004,Election Day Voting
326.016,-138.59700000000004,Absentee Voting
476.64,-138.59700000000004,Total
20.016,-48.77000000000004,Dana Nessel
179.856,-48.77000000000004,DEM
249.552,-48.77000000000004,272
275.832,-48.77000000000004,24.93%
344.016,-48.77000000000004,299
370.296,-48.77000000000004,45.03%
445.68,-48.77000000000004,571
471.96,-48.77000000000004,32.54%
20.016,-64.61000000000001,Matthew DePerno
179.856,-64.61000000000001,REP
249.552,-64.61000000000001,794
275.832,-64.61000000000001,72.78%
344.016,-64.61000000000001,354
370.296,-64.61000000000001,53.31%
439.632,-64.61000000000001,1148
471.96,-64.61000000000001,65.41%
20.016,-80.45000000000005,Joseph W. McHugh Jr.
179.856,-80.45000000000005,LIB
253.872,-80.45000000000005,19
280.152,-80.45000000000005,1.74%
352.656,-80.45000000000005,5
374.616,-80.45000000000005,0.75%
450.0,-80.45000000000005,24
476.28,-80.45000000000005,1.37%
20.016,-96.29000000000002,Gerald T. Van Sickle
179.856,-96.29000000000002,UST
258.192,-96.29000000000002,6
280.152,-96.29000000000002,0.55%
352.656,-96.29000000000002,6
374.616,-96.29000000000002,0.90%
450.0,-96.29000000000002,12
476.28,-96.29000000000002,0.68%
170.424,-114.00200000000001,Cast Votes:
243.504,-114.00200000000001,1091
271.584,-114.00200000000001,100.00%
344.016,-114.00200000000001,664
366.048,-114.00200000000001,100.00%
439.632,-114.00200000000001,1755
467.712,-114.00200000000001,100.00%
166.68,-135.60200000000003,Undervotes:
253.872,-135.60200000000003,19
348.336,-135.60200000000003,13
450.0,-135.60200000000003,32
171.576,-150.29000000000002,Overvotes:
258.192,-150.29000000000002,0
352.656,-150.29000000000002,0
454.32,-150.29000000000002,0
126.792,-164.69000000000003,Rejected write-in votes:
258.192,-164.69000000000003,1
352.656,-164.69000000000003,0
454.32,-164.69000000000003,1
117.216,-179.09000000000003,Unresolved write-in votes:
258.192,-179.09000000000003,0
352.656,-179.09000000000003,0
454.32,-179.09000000000003,0
20.016,-317.01300000000003,Representative in Congress 4th District - Vote for not more than 1
20.016,-334.869,Choice
179.856,-334.869,Party
218.592,-334.869,Election Day Voting
326.016,-334.869,Absentee Voting
476.64,-334.869,Total
20.016,-244.97000000000003,Joseph Alfonso
179.856,-244.97000000000003,DEM
249.552,-244.97000000000003,215
275.832,-244.97000000000003,19.65%
344.016,-244.97000000000003,230
370.296,-244.97000000000003,34.85%
445.68,-244.97000000000003,445
471.96,-244.97000000000003,25.37%
20.016,-260.81000000000006,Bill Huizenga
179.856,-260.81000000000006,REP
249.552,-260.81000000000006,867
275.832,-260.81000000000006,79.25%
344.016,-260.81000000000006,425
370.296,-260.81000000000006,64.39%
439.632,-260.81000000000006,1292
471.96,-260.81000000000006,73.66%
20.016,-276.65000000000003,Lorence Wenke
179.856,-276.65000000000003,LIB
253.872,-276.65000000000003,12
280.152,-276.65000000000003,1.10%
352.656,-276.65000000000003,3
374.616,-276.65000000000003,0.45%
450.0,-276.65000000000003,15
476.28,-276.65000000000003,0.86%
20.016,-292.49,Curtis Michael Clark
179.856,-292.49,UST
258.192,-292.49,0
280.152,-292.49,0.00%
352.656,-292.49,2
374.616,-292.49,0.30%
454.32,-292.49,2
476.28,-292.49,0.11%
170.424,-310.202,Cast Votes:
243.504,-310.202,1094
271.584,-310.202,100.00%
344.016,-310.202,660
366.048,-310.202,100.00%
439.632,-310.202,1754
467.712,-310.202,100.00%
166.68,-331.802,Undervotes:
253.872,-331.802,14
348.336,-331.802,17
450.0,-331.802,31
171.576,-346.49,Overvotes:
258.192,-346.49,0
352.656,-346.49,0
