county,precinct,office,district,candidate,party,election_day,absentee,total
Ottawa,"Spring Lake Township, Precinct 5",Straight Party,,Democratic,DEM,187,231,418
Ottawa,"Spring Lake Township, Precinct 5",Straight Party,,Republican,REP,377,156,533
Ottawa,"Spring Lake Township, Precinct 5",Straight Party,,Libertarian,LIB,5,3,8
Ottawa,"Spring Lake Township, Precinct 5",Straight Party,,U.S. Taxpayers,UST,0,0,0
Ottawa,"Spring Lake Township, Precinct 5",Straight Party,,Working Class,WC,2,0,2
Ottawa,"Spring Lake Township, Precinct 5",Straight Party,,Green,GRE,0,0,0
Ottawa,"Spring Lake Township, Precinct 5",Straight Party,,Natural Law,NAL,1,0,1
Ottawa,"Spring Lake Township, Precinct 5",Straight Party,,Cast Votes:,,572,390,962
Ottawa,"Spring Lake Township, Precinct 5",Straight Party,,Undervotes:,,670,344,1014
Ottawa,"Spring Lake Township, Precinct 5",Straight Party,,Overvotes:,,0,0,0
Ottawa,"Spring Lake Township, Precinct 5",Straight Party,,Rejected write-in votes:,,0,0,0
Ottawa,"Spring Lake Township, Precinct 5",Straight Party,,Unresolved write-in votes:,,0,0,0
