county,precinct,office,district,candidate,party,election_day,absentee,total
Ottawa,"Holland Charter Township, Precinct 5A",Straight Party,,Democratic,DEM,0,0,0
Ottawa,"Holland Charter Township, Precinct 5A",Straight Party,,Republican,REP,0,0,0
Ottawa,"Holland Charter Township, Precinct 5A",Straight Party,,Libertarian,LIB,0,0,0
Ottawa,"Holland Charter Township, Precinct 5A",Straight Party,,U.S. Taxpayers,UST,0,0,0
Ottawa,"Holland Charter Township, Precinct 5A",Straight Party,,Working Class,WC,0,0,0
Ottawa,"Holland Charter Township, Precinct 5A",Straight Party,,Green,GRE,0,0,0
Ottawa,"Holland Charter Township, Precinct 5A",Straight Party,,Natural Law,NAL,0,0,0
Ottawa,"Holland Charter Township, Precinct 5A",Straight Party,,Cast,,0,0,0
Ottawa,"Holland Charter Township, Precinct 5A",Straight Party,,,,0,0,0
Ottawa,"Holland Charter Township, Precinct 5A",Straight Party,,,,0,0,0
Ottawa,"Holland Charter Township, Precinct 5A",Straight Party,,Rejected write-in,,0,0,0
Ottawa,"Holland Charter Township, Precinct 5A",Straight Party,,Unresolved write-in,,0,0,0
