county,precinct,office,district,candidate,party,election_day,absentee,total
Ottawa,"Robinson Township, Precinct 2",Straight Party,,Democratic,DEM,79,95,174
Ottawa,"Robinson Township, Precinct 2",Straight Party,,Republican,REP,279,108,387
Ottawa,"Robinson Township, Precinct 2",Straight Party,,Libertarian,LIB,3,2,5
Ottawa,"Robinson Township, Precinct 2",Straight Party,,U.S. Taxpayers,UST,0,0,0
Ottawa,"Robinson Township, Precinct 2",Straight Party,,Working Class,WC,3,0,3
Ottawa,"Robinson Township, Precinct 2",Straight Party,,Green,GRE,0,0,0
Ottawa,"Robinson Township, Precinct 2",Straight Party,,Natural Law,NAL,1,0,1
Ottawa,"Robinson Township, Precinct 2",Straight Party,,Cast,,365,205,570
Ottawa,"Robinson Township, Precinct 2",Straight Party,,,,256,114,370
Ottawa,"Robinson Township, Precinct 2",Straight Party,,,,1,0,1
Ottawa,"Robinson Township, Precinct 2",Straight Party,,Rejected write-in,,0,0,0
Ottawa,"Robinson Township, Precinct 2",Straight Party,,Unresolved write-in,,0,0,0
